GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
3.7063E+11,95.68861389,113.9682846,89.26444244,183.9362793,0.642318726,-0.253342599,10,8.035446167,77.75040436,44842.15234,46125.3125,45483.73438,15145.76172,15202.5459,67.58178711,66.98045349,84.70985413,82.74802399,81.48709106,79.77284241
3.7063E+11,112.763176,130.588562,119.0130615,158.3901215,0.412300557,-0.111485466,10,36.96321106,39.57554626,43001.83594,47521.15234,45261.49609,15154.58008,15135.47559,68.75097656,68.12478638,84.40701294,83.36213684,84.54727936,82.4389267
3.7063E+11,103.8075638,123.1281586,107.4775162,166.1634369,0.528816879,-0.189933211,10,25.34265137,54.38458252,44127.35938,46115.17578,45121.26953,15097.37695,15083.99902,67.67572021,67.14696503,85.07530212,83.94515991,83.25074768,81.06253052
3.7063E+11,104.4333191,121.33535,97.91513824,171.0671692,0.632878721,-0.279405743,10,25.44738197,76.3867569,43512.55469,45643.77344,44587.22266,15120.03223,15176.53223,66.80260468,66.40480042,85.73789215,83.39678955,79.9881897,78.58512878
3.7063E+11,110.3355103,128.6729431,109.4212646,170.7486877,0.589781106,-0.220227614,10,23.94385719,62.02645111,42858.78906,46277.70703,44572.22656,15192.98535,15228.89453,67.02259064,66.54112244,85.54672241,83.84857178,81.72808838,79.8612442
3.7063E+11,128.1284332,144.1124573,131.9457703,177.473526,0.3696087,-0.117311954,50,48.08882523,49.78246689,45090.94531,47738.73828,46414.83984,15219.99609,15353.34473,68.85559082,68.16372681,85.13404846,83.84420013,84.53224182,82.95354462
3.7063E+11,101.7050476,116.6777039,98.01998138,172.5029602,0.470296144,-0.139304787,10,32.05007172,42.33374023,42947.86719,46633.03516,44790.45313,15311.33398,15377.55566,68.01538849,67.30846405,85.54724121,84.08437347,83.67989349,81.38034821
3.7063E+11,107.0091095,123.2465515,100.021347,170.3822784,0.524007559,-0.204837307,10,28.60086441,65.78857422,44593.26563,46250.50781,45421.88672,15200.66895,15302.49512,67.30034637,66.78544617,85.28756714,83.61195374,81.91292572,80.05845642
3.7063E+11,126.4829712,143.3436127,130.2777863,178.7863617,0.390074074,-0.124063283,10,42.35099411,46.00231171,44631.48828,46761.45313,45696.46875,15211.19629,15300.48633,68.32063293,67.62656403,84.8152771,84.03839111,84.19054413,82.56598663
3.71831E+11,109.9675674,125.3282089,94.61141205,179.0597534,0.525305688,-0.21106109,10,11.21319485,56.17755508,46621.5,46584.33594,46874.38672,15274.08887,15287.19434,68.25229645,67.61423492,85.51161957,83.87281036,82.98792267,80.76220703
3.71831E+11,101.6449203,121.2521057,96.78721619,165.2434692,0.507049501,-0.260973245,10,14.65538502,55.94012833,45437.80078,46501.41797,45957.5625,15262.98926,15276.45703,68.44033813,67.75969696,86.09879303,83.85178375,82.74744415,80.46800995
3.71831E+11,116.5537491,132.5488892,105.0168228,179.4471588,0.366618454,-0.249729782,10,21.61022377,48.36645126,47222.02344,47117.22656,47593.39063,15295.06348,15362.68164,68.92874908,68.32471466,86.68264771,84.57923889,83.88597107,81.31760406
3.71831E+11,108.7871704,128.9325714,104.7114792,167.8254089,0.454078466,-0.201940656,10,26.90878296,53.34770203,46535.17188,46870.58594,47347.83203,15287.98828,15370.61621,68.20168304,67.49728394,86.36322021,84.07078552,82.94728088,80.55458832
3.71831E+11,111.8619995,133.5017242,107.8207626,164.9949036,0.429631174,-0.160922244,10,28.85094833,51.86733246,46245.92578,46877.97656,47337.24609,15302.24023,15361.47266,68.85941315,68.14038849,86.4082489,84.33571625,83.49140167,81.07234192
3.71831E+11,104.6719894,125.2530823,98.4561615,166.9071503,0.493861407,-0.237563118,10,27.20683098,57.47454834,45553.12891,46446.48047,46707.82031,15284.72461,15375.68457,68.37464142,67.64945984,86.20608521,83.99040985,82.92002106,80.62120056
